symbol,direction,ob_size_pct,atr_pct,rsi,price_vs_ema,candle_body_pct,upper_wick_pct,lower_wick_pct,distance_to_ob_pct,hour_of_day,label
R_75,BUY,0.002951630419974281,0.003657027857175971,35.80722982505115,-0.008151797743388317,0.0011598096282565541,0.0,0.0017918145199931229,0.0011597890914326096,1,1
R_75,BUY,0.003484835683801342,0.0033548149325785606,49.20249878395331,-0.0008747189935617439,0.002689801695549863,3.0269319798223128e-05,0.0007647176798741011,3.029450085731902e-05,12,1
R_75,BUY,0.004288687711646231,0.0037554489160400014,42.14805608439195,-0.003239812620712117,0.0026698262078630255,0.0004951981307697203,0.0011236685411026835,0.0004951885157200785,14,1
R_75,SELL,0.005759396793537797,0.0032966806424754415,41.723539997733695,-0.007911708533516491,0.0044338674156351775,0.0010174678332257178,0.0003080762074792432,0.00030808777082754743,5,0
R_75,SELL,0.002536877983204882,0.0033579472980858095,51.12532389399746,-0.0028774211704342065,0.001773636453620134,0.0007568691455630049,6.351796850369264e-06,6.3426337741771366e-06,6,0
R_75,SELL,0.00276423853553114,0.003366040836574158,70.08980226905761,0.01315174671017554,0.00032700149547922443,0.0020057648697567446,0.0004314463101077759,0.0007584783780752403,21,1
R_75,SELL,0.005917475067051649,0.0039699284036140495,55.921568538264424,0.004854717948349933,0.002068279181354549,0.003157687859056078,0.0006914733327600793,0.0006914801631178973,20,0
R_75,SELL,0.0038851207245100138,0.0035277348908975665,61.30099391382626,0.005467874191714231,0.0012319068345707559,0.002103712784426701,0.0005494509995188028,0.0017813797282302828,23,1
R_75,BUY,0.005066823972855199,0.003729774841383633,33.63567913057401,-0.011068125426478309,0.0026890340274487857,0.00021480098030562706,0.002162966723744898,0.00021480243325853148,5,1
R_75,SELL,0.005059000155404221,0.003344900269084523,63.35094225262948,0.008453708270715718,0.003733978181817693,0.0012934821251004115,3.151369898573699e-05,0.003765479128886686,6,1
R_75,SELL,0.002937093801517955,0.0037002737367357406,63.27708607547242,0.00785213948336717,0.0007810592622488685,0.0004133078723794749,0.0017427468973926856,0.0025238299794274103,13,1
R_75,SELL,0.0018803280213181785,0.002971892350374643,59.23914315442288,0.008367943791156405,0.0007901244624526009,0.000904998074898531,0.00018525847435182707,0.0009753434069996398,17,1
R_75,SELL,0.004071313123724256,0.003559694601000547,56.62913430773487,0.005271483943771997,0.003365505828906748,0.0007057998027388482,0.0,3.484687727833492e-08,10,1
R_75,SELL,0.002262403738659102,0.003527967503785603,53.42214196291454,0.0016756022458307414,6.086002761420431e-05,0.0014733149356758381,0.0007282205512302912,0.0007891073510412442,12,1
R_75,SELL,0.0030136959096781503,0.0037766881537189224,52.263256839441794,-0.0013445103423655653,0.0018347016312877257,0.0005747409519507467,0.0006043162978698864,0.000604265000918267,15,1
R_75,BUY,0.002737510596317593,0.0034229185656635673,43.30824125546768,-0.0034970179969541454,0.00017462143987422604,0.00044172439789517156,0.002121243212820635,0.00061630519278487,14,1
R_75,SELL,0.0022070872360171784,0.0034677543118838304,62.223183648551846,0.008218135882054042,0.0016586384741889624,0.0005483800559603494,0.0,0.0016586913794825516,10,1
R_75,SELL,0.0028877608122776983,0.0031304348969070257,67.1579538751378,0.006913931058302021,0.0009014418310580814,0.0014280843244601138,0.0005582960629759011,0.0014597229429551479,19,1
R_75,SELL,0.005537494153069845,0.003247226516481732,54.308980953520965,0.0037743778343866954,0.0036578719356808605,0.0013893756796607571,0.0004901713816177696,0.0004902088699879502,14,1
R_75,SELL,0.0019317236853725254,0.0031117327134383282,67.90199005441646,0.006896866036369767,0.0005945418761835675,0.00024025059024112948,0.0010969359554623592,0.0010969835027812057,10,1
R_75,SELL,0.005784830723399677,0.0035235833485392667,58.92023261737856,0.0042703338680925755,0.004867074038889138,0.0009177012163918095,0.0,0.004867103825555264,7,1
R_75,BUY,0.003962064353435397,0.003163357565905094,46.57710496183972,-0.005415879588088634,0.002702978954510912,0.0005400014246970199,0.0007190940168844594,0.0005399775609575456,11,1
R_100,SELL,0.003578922542465523,0.004680251065010743,59.67463261078175,0.012871442453294439,0.0005381769256642816,0.002058526740665957,0.0009821728893373942,0.0015203563845442314,0,1
